Species,TaxLevel,FunctionalGroup,Reference,Reference_pres_link,Observation
Abyssianira_argentenensis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Abyssianira_dentifrons,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Abyssianira_spp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,Aggregated: Abyssianira_spp
Acanthoserolis_schythei,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Acodontaster_elongatus,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Acodontaster_sp,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Actinauge_longicornis,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Actinostola_crassicornis,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Adelomelon_ancilla,Species,Gastropoda,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Advenogonium_fuegiae,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Aega_semicarinata,Species,Isopoda,Schejter_etal_2016; Doti_etal_2020,https://doi.org/10.1007/s00300-016-1913-2,
Aglaophamus_virginis,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Agonopsis_chiloensis,Species,Fish_BenPel,Schejter_etal_2016; Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1007/s00300-016-1913-2,
Alcyonium_antarcticum,Species,Coral,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Allorostrata_ovalis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Allorostrata_scutifrons,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Amblyraja_doellojuradoi,Species,Fish_Chond,Díaz de Astarloa_pers.com.,NA,
Amblyraja_georgiana,Species,Fish_Chond,Delpiani_TallerCientifico_2021,NA,
Ampharete_kerguelensis,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Anasterias_antarctica,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Anasterias_sp,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Andaniotes_linearis,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Anobothrus_sp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Antarcturidae,Family,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Anthoptilum_grandiflorum,Species,Coral,Schejter_etal_2018; 2020b,https://ri.conicet.gov.ar/handle/11336/98394,
