Species,TaxLevel,FunctionalGroup_Num,tl,conn,EcosystemService_Num,ES_Name
Actinostola_crassicornis,Species,5,2.416666667,7,3,Biodiversidad
Adelomelon_ancilla,Species,8,3.232358373,5,3,Biodiversidad
Alcyonium_antarcticum,Species,4,2,5,6,Secuestro de carbono
Alcyonium_antarcticum,Species,4,2,5,3,Biodiversidad
Alcyonium_antarcticum,Species,4,2,5,2,Materia prima
Amblyraja_doellojuradoi,Species,13,2.772222141,26,3,Biodiversidad
Amblyraja_doellojuradoi,Species,13,2.772222141,26,1,Pesca
Amblyraja_georgiana,Species,13,2.888967315,23,1,Pesca
Anasterias_antarctica,Species,6,3.285714286,2,3,Biodiversidad
Anthoptilum_grandiflorum,Species,4,2.388888889,9,3,Biodiversidad
Anthoptilum_grandiflorum,Species,4,2.388888889,9,2,Materia prima
Aplidium_spp,Species,3,2.05,13,2,Materia prima
Arctocephalus_australis,Species,15,3.207658372,23,8,Educacion
Asbestopluma_sp,Species,1,3.437314046,3,6,Secuestro de carbono
Asbestopluma_sp,Species,1,3.437314046,3,3,Biodiversidad
Astrotoma_agassizii,Species,6,2.21765317,11,6,Secuestro de carbono
Astrotoma_agassizii,Species,6,2.21765317,11,2,Materia prima
Austrodoris_sp,Species,8,3.045454545,5,2,Materia prima
Balaenoptera_acutorostrata,Species,15,2.821251293,13,8,Educacion
Balaenoptera_bonaerensis,Species,15,3.336825896,10,8,Educacion
Balaenoptera_borealis,Species,15,2.759854913,12,8,Educacion
Balaenoptera_physalus,Species,15,2.759854913,12,8,Educacion
Balticina_africana,Species,5,2.388888889,10,3,Biodiversidad
Bathyraja_albomaculata,Species,13,2.971941539,11,3,Biodiversidad
Bathyraja_griseocauda,Species,13,3.13884115,29,1,Pesca
Bathyraja_macloviana,Species,13,2.718447577,10,3,Biodiversidad
Bathyraja_scaphiops,Species,13,3.550471822,9,3,Biodiversidad
Bolocera_kerguelensis,Species,5,1,1,3,Biodiversidad
Brachiopoda_spp,Species,7,2,24,3,Biodiversidad
Bryozoa,Other,2,2,15,6,Secuestro de carbono
Bryozoa,Other,2,2,15,2,Materia prima
Calcarea,Class,1,2.055555556,9,6,Secuestro de carbono
Calcarea,Class,1,2.055555556,9,3,Biodiversidad
Calliostoma_spp,Species,8,1,4,3,Biodiversidad
Campanularia_sp,Species,6,2,2,3,Biodiversidad
Ceramaster_patagonicus,Species,5,3.264267677,4,3,Biodiversidad
Clathria_spp,Species,1,2,2,6,Secuestro de carbono
Clathria_spp,Species,1,2,2,4,Biopurificacion
Clathria_spp,Species,1,2,2,3,Biodiversidad
Clavularia_sp,Species,4,2.125,6,6,Secuestro de carbono
Clavularia_sp,Species,4,2.125,6,3,Biodiversidad
Clavularia_sp,Species,4,2.125,6,2,Materia prima
Colpospirella_algida,Species,8,1,3,3,Biodiversidad
Convexella_magelhaenica,Species,4,2.35,14,3,Biodiversidad
Convexella_magelhaenica,Species,4,2.35,14,2,Materia prima
Cosmasterias_lurida,Species,6,2.660624098,12,3,Biodiversidad
Cyrtostrombidium_sp,Species,11,2,12,5,Flujo de carbono
Dissostichus_eleginoides,Species,12,3.112380095,54,6,Secuestro de carbono
Dissostichus_eleginoides,Species,12,3.112380095,54,1,Pesca
Doryteuthis_gahi,Species,10,3.716377993,42,5,Flujo de carbono
Doryteuthis_gahi,Species,10,3.716377993,42,1,Pesca
Eubalaena_australis,Species,15,3.246033825,8,8,Educacion
Eudyptes_chrysocome,Species,16,3.790749603,6,8,Educacion
Eurhomalea_sp,Species,9,2,8,3,Biodiversidad
Flabellum_spp,Species,4,2,2,6,Secuestro de carbono
Flabellum_spp,Species,4,2,2,3,Biodiversidad
Fuegotrophon_pallidus,Species,8,2.285714286,11,3,Biodiversidad
Fusitriton_magellanicus,Species,8,3.054217977,8,3,Biodiversidad
Genypterus_blacodes,Species,12,3.027019677,17,1,Pesca
Globicephala_melas,Species,15,3.865838866,9,8,Educacion
Gorgonocephalus_chilensis,Species,6,3.305599335,4,6,Secuestro de carbono
Halichondrida,Order,1,2.071428571,8,6,Secuestro de carbono
Halichondrida,Order,1,2.071428571,8,4,Biopurificacion
Halichondrida,Order,1,2.071428571,8,3,Biodiversidad
Haplosclerida,Order,1,2.045454545,16,6,Secuestro de carbono
Haplosclerida,Order,1,2.045454545,16,4,Biopurificacion
Haplosclerida,Order,1,2.045454545,16,3,Biodiversidad
Henricia_obesa,Species,6,2.1,5,3,Biodiversidad
Hexactinellida,Class,1,2.125,5,6,Secuestro de carbono
Hexactinellida,Class,1,2.125,5,4,Biopurificacion
Hexactinellida,Class,1,2.125,5,3,Biodiversidad
Hormathia_pectinata,Species,5,3.388888889,2,3,Biodiversidad
Ideogorgia_laurae,Species,4,2,6,6,Secuestro de carbono
Ideogorgia_laurae,Species,4,2,6,3,Biodiversidad
Isosicyonis_alba,Species,5,1,2,3,Biodiversidad
