Prey,Predator,edgetype,PreyGroup,PredGroup,PredStrategy,FoodSource,Reference
Diatoms_benthic,Abyssianira_argentenensis,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_centric,Abyssianira_argentenensis,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_pennate,Abyssianira_argentenensis,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_benthic,Abyssianira_dentifrons,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_centric,Abyssianira_dentifrons,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_pennate,Abyssianira_dentifrons,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_benthic,Abyssianira_spp,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_centric,Abyssianira_spp,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_pennate,Abyssianira_spp,0,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Detritus,Acanthoserolis_schythei,0,Non-living,Isopoda,Deposit-feeder,Detritus,LeBourg_PhDTesis_2020
Laetmonice_producta,Acanthoserolis_schythei,0,Polychaeta,Isopoda,Hunter,Heterotroph,GATEWAy
Pelagobia_longicirrata,Acanthoserolis_schythei,0,Polychaeta,Isopoda,Hunter,Heterotroph,GATEWAy
Polyeunoa_laevis,Acanthoserolis_schythei,0,Polychaeta,Isopoda,Hunter,Heterotroph,GATEWAy
Themisto_gaudichaudii,Acanthoserolis_schythei,0,Zooplankton,Isopoda,Hunter,Heterotroph,GATEWAy
Necromass,Acodontaster_elongatus,0,Non-living,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.
Necromass,Acodontaster_sp,0,Non-living,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.
Foraminifera,Actinauge_longicornis,0,Foraminifera,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Polycheria_spp,Actinostola_crassicornis,0,Amphipoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Eatoniella_spp,Actinostola_crassicornis,0,Gastropoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Liotella_crassicostata,Actinostola_crassicornis,0,Gastropoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Odostomia_sp,Actinostola_crassicornis,0,Gastropoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Onoba_spp,Actinostola_crassicornis,0,Gastropoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Scissurella_clathrata,Actinostola_crassicornis,0,Gastropoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Zygochlamys_patagonica,Adelomelon_ancilla,0,Bivalvia,Gastropoda,Hunter,Heterotroph,Botto_etal_2006
Fusitriton_magellanicus,Adelomelon_ancilla,0,Gastropoda,Gastropoda,Hunter,Heterotroph,Botto_etal_2006
Eurhomalea_sp,Adelomelon_ancilla,0,Bivalvia,Gastropoda,Hunter,Heterotroph,Encyclopedia of Life
Detritus,Advenogonium_fuegiae,0,Non-living,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.
Foraminifera,Aglaophamus_virginis,0,Foraminifera,Polychaeta,Deposit-feeder,Primary producer,Jumars_etal_2015
Lumbrineridae,Aglaophamus_virginis,0,Polychaeta,Polychaeta,Hunter,Heterotroph,GloBI
Orbiniidae,Aglaophamus_virginis,0,Polychaeta,Polychaeta,Hunter,Heterotroph,GloBI
Eteone_spp,Aglaophamus_virginis,0,Polychaeta,Polychaeta,Hunter,Heterotroph,GloBI
Syllidae,Aglaophamus_virginis,0,Polychaeta,Polychaeta,Hunter,Heterotroph,GloBI
Diatoms_benthic,Alcyonium_antarcticum,0,Diatoms,Coral,Suspension-feeder,Primary producer,Botto_etal_2006
Diatoms_centric,Alcyonium_antarcticum,0,Diatoms,Coral,Suspension-feeder,Primary producer,Botto_etal_2006
Diatoms_pennate,Alcyonium_antarcticum,0,Diatoms,Coral,Suspension-feeder,Primary producer,Botto_etal_2006
Detritus,Allorostrata_ovalis,0,Non-living,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.
Detritus,Allorostrata_scutifrons,0,Non-living,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.
Tryphosella_sp,Amblyraja_doellojuradoi,0,Amphipoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Libidoclaea_granaria,Amblyraja_doellojuradoi,0,Decapoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Eurypodius_latreillii,Amblyraja_doellojuradoi,0,Decapoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Grimothea_gregaria,Amblyraja_doellojuradoi,0,Decapoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Sympagurus_dimorphus,Amblyraja_doellojuradoi,0,Decapoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Campylonotus_vagans,Amblyraja_doellojuradoi,0,Decapoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Patagonotothen_ramsayi,Amblyraja_doellojuradoi,0,Fish_BenPel,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Acanthoserolis_schythei,Amblyraja_doellojuradoi,0,Isopoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Natatolana_pastorei,Amblyraja_doellojuradoi,0,Isopoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Macrochiridothea_stebbingi,Amblyraja_doellojuradoi,0,Isopoda,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Onuphis_pseudoiridescens,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Pista_spp,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Terebellides_malvinensis,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Nicolea_chilensis,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Thelepus_sp,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Eteone_spp,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Glycera_spp,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Eunereis_patagonica,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Nicon_maculata,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Serpula_spp,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Aglaophamus_virginis,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Nephtys_sp,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Lumbrineridae,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Orbiniidae,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Maldanidae,Amblyraja_doellojuradoi,0,Polychaeta,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013
Metepimeria_acanthurus,Amblyraja_georgiana,0,Amphipoda,Fish_Demersal,Hunter,Heterotroph,GloBI
Themisto_gaudichaudii,Amblyraja_georgiana,0,Zooplankton,Fish_Demersal,Hunter,Heterotroph,GloBI
Doryteuthis_gahi,Amblyraja_georgiana,0,Cephalopoda,Fish_Demersal,Hunter,Heterotroph,GloBI
Austrocidaris_canaliculata,Amblyraja_georgiana,0,Echinodermata,Fish_Demersal,Hunter,Heterotroph,GloBI
Austrocidaris_spinulosida,Amblyraja_georgiana,0,Echinodermata,Fish_Demersal,Hunter,Heterotroph,GloBI
Lepidonotothen_squamifrons,Amblyraja_georgiana,0,Fish_BenPel,Fish_Demersal,Hunter,Heterotroph,GloBI
Muraenolepis_spp,Amblyraja_georgiana,0,Fish_BenPel,Fish_Demersal,Hunter,Heterotroph,GloBI
Patagonotothen_guntheri,Amblyraja_georgiana,0,Fish_BenPel,Fish_Demersal,Hunter,Heterotroph,GloBI
Trophon_ohlini,Amblyraja_georgiana,0,Gastropoda,Fish_Demersal,Hunter,Heterotroph,GloBI
Trophon_plicatus,Amblyraja_georgiana,0,Gastropoda,Fish_Demersal,Hunter,Heterotroph,GloBI
Acanthoserolis_schythei,Amblyraja_georgiana,0,Isopoda,Fish_Demersal,Hunter,Heterotroph,GloBI
