Prey,Predator,PreyGroup,PredGroup,PredStrategy,FoodSource,Reference
Diatoms_benthic,Abyssianira_argentenensis,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_centric,Abyssianira_argentenensis,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_pennate,Abyssianira_argentenensis,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_benthic,Abyssianira_dentifrons,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_centric,Abyssianira_dentifrons,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_pennate,Abyssianira_dentifrons,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_benthic,Abyssianira_spp,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_centric,Abyssianira_spp,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Diatoms_pennate,Abyssianira_spp,Diatoms,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962
Detritus,Acanthoserolis_schythei,Non-living,Isopoda,Deposit-feeder,Detritus,LeBourg_PhDTesis_2020
Laetmonice_producta,Acanthoserolis_schythei,Polychaeta,Isopoda,Hunter,Heterotroph,GATEWAy
Pelagobia_longicirrata,Acanthoserolis_schythei,Polychaeta,Isopoda,Hunter,Heterotroph,GATEWAy
Polyeunoa_laevis,Acanthoserolis_schythei,Polychaeta,Isopoda,Hunter,Heterotroph,GATEWAy
Themisto_gaudichaudii,Acanthoserolis_schythei,Zooplankton,Isopoda,Hunter,Heterotroph,GATEWAy
Necromass,Acodontaster_elongatus,Non-living,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.
Necromass,Acodontaster_sp,Non-living,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.
Foraminifera,Actinauge_longicornis,Foraminifera,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Polycheria_spp,Actinostola_crassicornis,Amphipoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
Eatoniella_spp,Actinostola_crassicornis,Gastropoda,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022
