Species,vertextype,FunctionalGroup,Reference,Reference_pres_link,Observation
Abyssianira_argentenensis,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Abyssianira_dentifrons,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Abyssianira_spp,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,Aggregated: Abyssianira_spp
Acanthoserolis_schythei,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Acodontaster_elongatus,0,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Acodontaster_sp,0,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Actinauge_longicornis,0,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Actinostola_crassicornis,3,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Adelomelon_ancilla,0,Gastropoda,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Advenogonium_fuegiae,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Aega_semicarinata,0,Isopoda,Schejter_etal_2016; Doti_etal_2020,https://doi.org/10.1007/s00300-016-1913-2,
Aglaophamus_virginis,0,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Agonopsis_chiloensis,0,Fish_BenPel,Schejter_etal_2016; Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1007/s00300-016-1913-2,
Alcyonium_antarcticum,9,Coral,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Allorostrata_ovalis,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Allorostrata_scutifrons,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Amblyraja_doellojuradoi,10,Fish_Chond,Díaz de Astarloa_pers.com.,NA,
Amblyraja_georgiana,1,Fish_Chond,Delpiani_TallerCientifico_2021,NA,
Ampharete_kerguelensis,0,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Anasterias_antarctica,3,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Anasterias_sp,0,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Andaniotes_linearis,0,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Anobothrus_sp,0,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Antarcturidae,0,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Anthoptilum_grandiflorum,11,Coral,Schejter_etal_2018; 2020b,https://ri.conicet.gov.ar/handle/11336/98394,
Aplidium_spp,2,Ascidiacea,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Appendicularia_spp,0,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Arctocephalus_australis,8,MarineMammals_2,RayaRey_pers.com.,NA,
Ardenna_gravis,0,SeaBirds,RayaRey_pers.com.,NA,
Ardenna_grisea,0,SeaBirds,RayaRey_pers.com.,NA,
